timestamp,open,high,low,close,volume,y
2025-02-20 15:15:00+0000,554295.999771,554295.999771,553815.807991,553819.00021,0.006252590000000001,554115.99999
2025-02-20 15:16:00+0000,554222.000121,554222.000121,554114.00002,554115.99999,0.03327651,555291.999991
2025-02-20 15:17:00+0000,554115.99999,555291.999991,554115.99999,555291.999991,0.05491372,555184.034335
2025-02-20 15:18:00+0000,555291.999991,555291.999991,555184.034335,555184.034335,0.0,555184.034335
2025-02-20 15:19:00+0000,555184.034335,555184.034335,555184.034335,555184.034335,1.165e-05,555672.0
2025-02-20 15:20:00+0000,555184.034335,555672.0,555184.034335,555672.0,0.05722,555175.35535
2025-02-20 15:21:00+0000,555672.0,555672.0,555175.35535,555175.35535,0.00090052,555541.000025
2025-02-20 15:22:00+0000,555545.003104,555545.003104,555541.000025,555541.000025,0.01039058,555024.0
2025-02-20 15:23:00+0000,555541.000025,555541.000025,555024.0,555024.0,0.0141,555353.998899
2025-02-20 15:24:00+0000,555024.0,555353.998899,555024.0,555353.998899,0.0,554985.0
2025-02-20 15:25:00+0000,555353.998899,555353.998899,554985.0,554985.0,0.01354871,554366.000177
2025-02-20 15:26:00+0000,554985.0,554985.0,554366.000177,554366.000177,0.00239998,554190.652174
2025-02-20 15:27:00+0000,554891.487766,555011.999449,554190.652174,554190.652174,0.01945547,554055.728106
2025-02-20 15:28:00+0000,554691.00388,554691.00388,554055.728106,554055.728106,0.03629248,554328.0
2025-02-20 15:29:00+0000,554055.728106,554328.0,554055.728106,554328.0,0.0,554839.467402
2025-02-20 15:30:00+0000,554328.0,555000.0,554327.000143,554839.467402,0.07200999,554456.602427
2025-02-20 15:31:00+0000,555000.0,555084.552675,554456.602427,554456.602427,0.01994239,554731.0
2025-02-20 15:32:00+0000,554456.602427,554731.0,554456.602427,554731.0,0.0,554519.573781
2025-02-20 15:33:00+0000,554731.0,554731.0,554519.573781,554519.573781,0.04972807999999999,554630.53716
2025-02-20 15:34:00+0000,554519.573781,554630.53716,554519.573781,554630.53716,0.0,554630.53716
2025-02-20 15:35:00+0000,554630.53716,554630.53716,554630.53716,554630.53716,0.00088335,554690.0
2025-02-20 15:36:00+0000,554630.53716,555328.0,554630.53716,554690.0,0.0153875,554850.012661
